Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00     4433     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.29     0.00     4433     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.29     0.00     4431     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      0.29     0.00     4431     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      0.29     0.00     3669     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.29     0.00     3669     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.29     0.00      235     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<unsigned long, unsigned long>*>(std::pair<unsigned long, unsigned long>*, std::pair<unsigned long, unsigned long>*)
  0.00      0.29     0.00      235     0.00     0.00  void std::_Destroy<std::pair<unsigned long, unsigned long>*>(std::pair<unsigned long, unsigned long>*, std::pair<unsigned long, unsigned long>*)
  0.00      0.29     0.00      231     0.00     0.00  __gnu_cxx::new_allocator<pcl::PointXYZ>::~new_allocator()
  0.00      0.29     0.00      231     0.00     0.00  std::allocator<pcl::PointXYZ>::~allocator()
  0.00      0.29     0.00      230     0.00     0.00  Eigen::aligned_allocator<pcl::PointXYZ>::deallocate(pcl::PointXYZ*, unsigned long)
  0.00      0.29     0.00      230     0.00     0.00  Eigen::aligned_allocator<pcl::PointXYZ>::~aligned_allocator()
  0.00      0.29     0.00      230     0.00     0.00  std::_Vector_base<pcl::PointXYZ, Eigen::aligned_allocator<pcl::PointXYZ> >::_Vector_impl::~_Vector_impl()
  0.00      0.29     0.00      230     0.00     0.00  std::_Vector_base<pcl::PointXYZ, Eigen::aligned_allocator<pcl::PointXYZ> >::_M_deallocate(pcl::PointXYZ*, unsigned long)
  0.00      0.29     0.00      230     0.00     0.00  std::_Vector_base<pcl::PointXYZ, Eigen::aligned_allocator<pcl::PointXYZ> >::_M_get_Tp_allocator()
  0.00      0.29     0.00      230     0.00     0.00  std::_Vector_base<pcl::PointXYZ, Eigen::aligned_allocator<pcl::PointXYZ> >::~_Vector_base()
  0.00      0.29     0.00      230     0.00     0.00  std::allocator_traits<Eigen::aligned_allocator<pcl::PointXYZ> >::deallocate(Eigen::aligned_allocator<pcl::PointXYZ>&, pcl::PointXYZ*, unsigned long)
  0.00      0.29     0.00      230     0.00     0.22  std::vector<pcl::PointXYZ, Eigen::aligned_allocator<pcl::PointXYZ> >::~vector()
